"spec","cfus","cond"
"X135E",1,"obs"
"BC10",47600000,"obs"
"BC9",22550000,"obs"
"JB370",2410,"obs"
"JB5",34050000,"obs"
"JB7",44800000,"obs"
"JBC",50500000,"obs"
"BC9",1,"LV pH5"
"BC10",34395841.6397751,"LV pH5"
"JB5",3800014.11848806,"LV pH5"
"JB7",1,"LV pH5"
"X135E",1,"LV pH5"
"JBC",2391309557.9934,"LV pH5"
"JB370",9425939.33701644,"LV pH5"
"BC9",1,"LV pH7"
"BC10",1,"LV pH7"
"JB5",1,"LV pH7"
"JB7",1,"LV pH7"
"JBC",120939010.734512,"LV pH7"
"JB370",104114.36469788,"LV pH7"
"BC9",17360000,"penicillium + diutina pH5"
"BC10",76500000,"penicillium + diutina pH5"
"JB5",6992000,"penicillium + diutina pH5"
"JB7",134,"penicillium + diutina pH5"
"X135E",69308510.2098744,"penicillium + diutina pH5"
"JBC",2493608440847.66,"penicillium + diutina pH5"
"JB370",7900000,"penicillium + diutina pH5"
"BC9",17360000,"penicillium pH5"
"BC10",76500000,"penicillium pH5"
"JB5",6992000,"penicillium pH5"
"JB7",134,"penicillium pH5"
"X135E",69308510.2098744,"penicillium pH5"
"JBC",2493608440847.66,"penicillium pH5"
"JB370",7900000,"penicillium pH5"
"BC9",1,"no penicillium pH5"
"BC10",1,"no penicillium pH5"
"JB5",1,"no penicillium pH5"
"JB7",1887182.77522992,"no penicillium pH5"
"X135E",4705029.19795172,"no penicillium pH5"
"JBC",63800000,"no penicillium pH5"
"JB370",4200885.2502207,"no penicillium pH5"
"BC9",1,"no diutina pH5"
"BC10",1,"no diutina pH5"
"JB5",1,"no diutina pH5"
"JB7",1887182.77522992,"no diutina pH5"
"X135E",4705029.19795172,"no diutina pH5"
"JBC",63800000,"no diutina pH5"
"JB370",4200885.2502207,"no diutina pH5"
"BC9",17360000,"no penicillium pH7"
"BC10",76500000,"no penicillium pH7"
"JB5",6992000,"no penicillium pH7"
"JB7",134,"no penicillium pH7"
"JBC",228188069248.956,"no penicillium pH7"
"JB370",7900000,"no penicillium pH7"
