species,condition,day,sig.pH5,sig.pH7,intx.dir.pH5,med.fc.pH5,intx.dir.pH7,med.fc.pH7
JB5,JBC,21,*,*,neg,0,neg,0.01932241014799154
135E,JBC,21,*,**,neg,8.92857142857143e-6,neg,0
JB370,JBC,21,*,*,neg,3.903409090909091e-4,neg,0.001408105147864184
JB5,JBC,10,*,**,neg,0.004342013115171579,neg,9.747292418772563e-6
JB5,BC9,21,*,NA,neg,0.006264705882352941,NA,NA
JBC,135E,3,**,NA,neg,0.029323308270676692,NA,NA
135E,JBC,10,**,**,neg,0.036440677966101696,neg,0
JB370,JBC,3,*,*,neg,0.1,neg,0.21487603305785125
JB370,135E,10,**,**,neg,0.12181818181818181,neg,0.43037974683544306
BC9,BC10,10,*,**,neg,0.16473358116480794,neg,0.11153846153846154
BC9,JBC,10,*,NA,neg,0.23258901554916078,NA,NA
BC10,135E,3,*,NA,neg,0.2761904761904762,NA,NA
BC10,JBC,21,*,*,neg,0.32,neg,0.7125
BC10,JBC,10,**,NA,neg,0.32608695652173914,NA,NA
135E,JB370,21,*,NA,neg,0.3935018050541516,NA,NA
JBC,135E,10,**,NA,neg,0.4444444444444444,NA,NA
JBC,BC9,3,*,NA,neg,0.551948051948052,NA,NA
JBC,JB7,3,**,NA,neg,0.5639097744360902,NA,NA
JB370,135E,21,*,NA,neg,0.609375,NA,NA
135E,JB5,21,**,NA,neg,0.7098214285714286,NA,NA
JB370,BC10,10,*,NA,pos,1.5454545454545454,NA,NA
JB370,JB7,10,*,NA,pos,1.639344262295082,NA,NA
135E,BC9,21,*,NA,pos,1.7083333333333333,NA,NA
135E,BC10,21,*,NA,pos,1.851686507936508,NA,NA
135E,BC10,10,*,NA,pos,1.9090909090909092,NA,NA
BC10,JB370,21,*,NA,pos,2.1777777777777776,NA,NA
BC10,JB370,10,**,NA,pos,3.2318840579710146,NA,NA
BC9,135E,10,*,**,pos,4.200928750509454,neg,0.7637795275590551
BC9,JB370,3,**,NA,pos,7.361111111111111,NA,NA
BC9,JB370,10,*,NA,pos,12.763940520446097,NA,NA
JB5,BC10,3,**,NA,pos,13.548387096774194,NA,NA
BC9,135E,3,**,NA,pos,15.584415584415584,NA,NA
BC9,135E,21,**,NA,pos,19.34131736526946,NA,NA
BC9,JBC,3,**,*,pos,31.801242236024844,pos,4.0488462691039855
JB5,JB370,21,*,**,pos,220,neg,0.22142857142857142
JB5,BC10,10,**,NA,pos,1012.8205128205128,NA,NA
JB5,135E,3,*,NA,pos,1285.359801488834,NA,NA
JB7,135E,3,*,NA,pos,1800,NA,NA
JB5,JB370,10,**,**,pos,2181.818181818182,neg,0.33212996389891697
JB7,JB370,10,*,*,pos,3633.333333333333,neg,0.7130434782608696
JB5,135E,21,**,NA,pos,5471.698113207547,NA,NA
JB5,BC10,21,*,NA,pos,8532.186459489456,NA,NA
JB7,BC10,10,*,NA,pos,62916.66666666667,NA,NA
JB5,135E,10,*,NA,pos,231118.8811188811,NA,NA
JB7,JB370,21,**,NA,pos,800000,NA,NA
JB7,BC10,21,**,*,pos,10363636.363636363,pos,1.618811881188119
JB7,135E,10,*,*,pos,11333333.333333334,pos,1.78345395749923
JB7,135E,21,**,*,pos,16500000,pos,2.6083916083916083
JB370,JBC,10,NA,*,NA,NA,neg,6.348884381338742e-4
JB7,JBC,10,NA,**,NA,NA,neg,0.051470588235294115
JB370,BC9,10,NA,*,NA,NA,neg,0.11764705882352941
BC9,BC10,21,NA,**,NA,NA,neg,0.15357142857142858
JB370,BC10,3,NA,*,NA,NA,neg,0.34710743801652894
JB370,BC10,21,NA,*,NA,NA,neg,0.38596491228070173
135E,JB370,10,NA,*,NA,NA,neg,0.39622641509433965
JB5,JB7,21,NA,**,NA,NA,neg,0.492156862745098
JBC,JB7,21,NA,*,NA,NA,neg,0.6619718309859155
JBC,JB5,10,NA,*,NA,NA,pos,1.2333333333333334
JB7,BC9,21,NA,*,NA,NA,pos,1.4825174825174825
JBC,JB370,10,NA,*,NA,NA,pos,1.6723549488054608
135E,JB7,10,NA,*,NA,NA,pos,1.8867924528301887
135E,JB5,10,NA,*,NA,NA,pos,1.9777777777777779
BC9,JB5,3,NA,*,NA,NA,pos,2.381148478609014
